snapshot_date,building,in_market,unit,unit_type,beds,baths,sqft,asking_rent,net_effective_rent,price_basis,concession_text,available_date,data_flag,conc_months,lease_months,first_seen,last_seen,active
2026-06-11,505 Summit,1,5011,1BR,1,1.0,594,3846.0,3395.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-07-20,505 Summit,1,5011,1BR,1,1.0,594,3846.0,3316.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24,2026-06-12,2026-07-20,1
2026-07-20,505 Summit,1,5012,1BR,1,1.0,730,4141.0,3574.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24,2026-07-14,2026-07-20,1
2026-06-11,505 Summit,1,5013,1BR,1,1.0,701,4026.0,3556.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-07-20,505 Summit,1,5013,1BR,1,1.0,701,4026.0,3474.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24,2026-06-12,2026-07-20,1
2026-06-08,505 Summit,1,5208,1BR,1,1.0,,4601.0,4072.0,both,,,,2.5,24,2026-06-08,2026-06-08,0
2026-06-11,505 Summit,1,5311,1BR,1,1.0,551,3771.0,3328.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-07-13,505 Summit,1,5311,1BR,1,1.0,551,3771.0,3328.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-07-13,0
2026-06-26,505 Summit,1,2001,2BR,2,2.0,1150,5421.0,4806.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-26,2026-06-26,0
2026-06-18,505 Summit,1,2612,2BR,2,2.0,923,5396.0,4784.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-16,2026-06-18,0
2026-06-08,505 Summit,1,2713,2BR,2,2.0,,5421.0,4806.0,both,,,,2.5,24,2026-06-08,2026-06-08,0
2026-07-13,505 Summit,1,2901,2BR,2,2.0,1144,5576.0,4945.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-07-11,2026-07-13,0
2026-07-20,505 Summit,1,3013,2BR,2,2.0,924,5581.0,4949.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24,2026-07-14,2026-07-20,1
2026-07-13,505 Summit,1,3113,2BR,2,2.0,924,5601.0,4967.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-15,2026-07-13,0
2026-06-08,505 Summit,1,3301,2BR,2,2.0,,5651.0,5012.0,both,,,,2.5,24,2026-06-08,2026-06-08,0
2026-06-26,505 Summit,1,3401,2BR,2,2.0,1144,5676.0,5035.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-16,2026-06-26,0
2026-07-17,505 Summit,1,3501,2BR,2,2.0,1144,5696.0,5053.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24,2026-07-04,2026-07-17,0
2026-06-08,505 Summit,1,3613,2BR,2,2.0,,5591.0,4958.0,both,,,,2.5,24,2026-06-08,2026-06-08,0
2026-06-11,505 Summit,1,4501,2BR,2,2.0,1141,5851.0,5191.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-07-20,505 Summit,1,4501,2BR,2,2.0,1141,5821.0,5164.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24,2026-06-12,2026-07-20,1
2026-06-29,505 Summit,1,5307,2BR,2,2.0,962,6231.0,5532.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-23,2026-06-29,0
2026-06-08,505 Summit,1,0201,3BR,3,2.0,,6631.0,5890.0,both,,,,2.5,24,2026-06-08,2026-06-08,0
2026-07-06,505 Summit,1,0504,3BR,3,2.0,1413,6851.0,6087.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-16,2026-07-06,0
2026-06-11,505 Summit,1,0506,3BR,3,2.0,1251,7556.0,6719.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-06-30,505 Summit,1,0506,3BR,3,2.0,1251,6401.0,5684.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-06-30,0
2026-06-11,505 Summit,1,0604,Studio,0,1.0,620,3551.0,3131.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-07-20,505 Summit,1,0604,Studio,0,1.0,620,3551.0,3131.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24,2026-06-12,2026-07-20,1
2026-06-15,505 Summit,1,0606,Studio,0,1.0,542,3376.0,2974.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-15,2026-06-15,0
2026-06-13,505 Summit,1,0909,Studio,0,1.0,492,3041.0,2674.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-06-13,0
2026-07-13,505 Summit,1,2802,Studio,0,1.0,638,3416.0,3010.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-07-08,2026-07-13,0
2026-06-11,505 Summit,1,2902,Studio,0,1.0,638,3471.0,3059.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-07-03,505 Summit,1,2902,Studio,0,1.0,638,3451.0,3041.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-07-03,0
2026-06-11,505 Summit,1,3502,Studio,0,1.0,638,3531.0,3113.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-11,2026-06-11,0
2026-06-23,505 Summit,1,3502,Studio,0,1.0,638,3531.0,3113.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-06-23,0
2026-06-11,505 Summit,1,3906,Studio,0,1.0,527,3351.0,2952.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-11,2026-06-11,0
2026-06-16,505 Summit,1,3906,Studio,0,1.0,527,3351.0,2952.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-06-16,0
2026-07-19,505 Summit,1,4006,Studio,0,1.0,527,3331.0,2934.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24,2026-06-30,2026-07-19,0
2026-06-11,505 Summit,1,4203,Studio,0,1.0,625,3356.0,2956.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-06-21,505 Summit,1,4203,Studio,0,1.0,625,3356.0,2956.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-06-21,0
2026-06-11,505 Summit,1,4402,Studio,0,1.0,635,3601.0,3176.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-07-19,505 Summit,1,4402,Studio,0,1.0,635,3556.0,3135.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24,2026-06-12,2026-07-19,0
2026-06-11,505 Summit,1,4702,Studio,0,1.0,430,3416.0,3010.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-11,2026-06-11,0
2026-06-24,505 Summit,1,4702,Studio,0,1.0,430,3416.0,3010.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-06-24,0
2026-06-11,505 Summit,1,4703,Studio,0,1.0,446,3446.0,3037.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-07-20,505 Summit,1,4703,Studio,0,1.0,446,3446.0,3037.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24,2026-06-12,2026-07-20,1
2026-07-17,505 Summit,1,4704,Studio,0,1.0,586,3496.0,3082.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24,2026-06-23,2026-07-17,0
2026-06-11,505 Summit,1,4706,Studio,0,1.0,526,3451.0,3041.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-06-28,505 Summit,1,4706,Studio,0,1.0,526,3451.0,3041.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-06-28,0
2026-06-11,505 Summit,1,4707,Studio,0,1.0,530,3431.0,3023.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-07-06,505 Summit,1,4707,Studio,0,1.0,530,3431.0,3023.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-07-06,0
2026-06-11,505 Summit,1,4714,Studio,0,1.0,520,3516.0,3100.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
